pmid,doi,pmcid,title,authors_first,authors_last,journal,journal_iso,year,month,volume,issue,pages,citation_count,influential_citations,source_api,is_preprint,is_retracted,themes,theme_primary,relevance_score,priority_tier,notes
38480676,10.1002/tox.24222,,RETRACTED: Refining molecular subtypes and risk stratification of ovarian cancer through multi-omics consensus portfolio and machine learning.,Zhang,Ying,Environmental toxicology,Environ Toxicol,2025,3,40,3,E1-E16,0,0,pubmed,False,True,theme_02; theme_04,theme_04,0.22999999999999998,C,
36785667,10.1155/2023/3164166,PMC9922178,Applications of Neural Network-Based Plan-Cancer Method for Primary Diagnosis of Mesothelioma Cancer.,Kapila,Kumar,BioMed research international,Biomed Res Int,2023,0,2023,,3164166,0,0,pubmed,False,True,theme_04,theme_04,0.22999999999999998,C,
40779565,10.1371/journal.pone.0327419,PMC12334061,RETRACTED: LGD_Net: Capsule network with extreme learning machine for classification of lung diseases using CT scans.,Khan,Iqbal,PloS one,PLoS One,2025,0,20,8,e0327419,0,0,pubmed,False,True,theme_04,theme_04,0.22000000000000003,C,
36738498,10.1016/j.biopha.2023.114313,,The pharmacological and biological importance of EZH2 signaling in lung cancer.,Entezari,Samarghandian,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,Biomed Pharmacother,2023,4,160,,114313,0,0,pubmed,False,True,theme_08,theme_08,0.22000000000000003,C,
35880092,10.1155/2022/2279044,PMC9308511,Lung Cancer Stage Prediction Using Multi-Omics Data.,Li,Zhai,Computational and mathematical methods in medicine,Comput Math Methods Med,2022,0,2022,,2279044,0,0,pubmed,False,True,theme_03; theme_12,theme_03,0.22,C,
38881051,10.1111/srt.13770,PMC11180689,A novel deep learning framework for accurate melanoma diagnosis integrating imaging and genomic data for improved patient outcomes.,Kiran,Ahmad,Skin research and technology : official journal of International Society for Bioengineering and the Skin (ISBS) [and] International Society for Digital Imaging of Skin (ISDIS) [and] International Society for Skin Imaging (ISSI),Skin Res Technol,2024,6,30,6,e13770,0,0,pubmed,False,True,theme_02; theme_04,theme_04,0.21000000000000002,C,
39441216,10.1007/s00432-024-06001-z,PMC11499360,Single-cell omics and machine learning integration to develop a polyamine metabolism-based risk score model in breast cancer patients.,Zhang,Xiao,Journal of cancer research and clinical oncology,J Cancer Res Clin Oncol,2024,10,150,10,473,0,0,pubmed,False,True,theme_04,theme_04,0.21000000000000002,C,
33505988,10.3389/fmolb.2020.603701,PMC7832236,Identification of an Immunologic Signature of Lung Adenocarcinomas Based on Genome-Wide Immune Expression Profiles.,Ling,Tang,Frontiers in molecular biosciences,Front Mol Biosci,2020,0,7,,603701,0,0,pubmed,False,True,theme_01; theme_09,theme_09,0.2,C,
36060648,10.1155/2022/6495301,PMC9436571,Clinical and Biological Significances of a Ferroptosis-Related Gene Signature in Lung Cancer Based on Deep Learning.,Yang,Guo,Computational and mathematical methods in medicine,Comput Math Methods Med,2022,0,2022,,6495301,0,0,pubmed,False,True,theme_04,theme_04,0.2,C,
36785839,10.1155/2023/8262741,PMC9922185,An Efficient Model for Lungs Nodule Classification Using Supervised Learning Technique.,Eid Alazemi,Karamat,Journal of healthcare engineering,J Healthc Eng,2023,0,2023,,8262741,0,0,pubmed,False,True,theme_04,theme_04,0.19,C,
26330060,10.1038/srep13677,PMC4556976,MircoRNA-33a inhibits epithelial-to-mesenchymal transition and metastasis and could be a prognostic marker in non-small cell lung cancer.,Yang,Gong,Scientific reports,Sci Rep,2015,9,5,,13677,0,0,pubmed,False,True,theme_08,theme_08,0.19,C,
37209271,10.1002/tox.23832,,Erianin suppressed lung cancer stemness and chemotherapeutic sensitivity via triggering ferroptosis.,Lv,Liu,Environmental toxicology,Environ Toxicol,2024,2,39,2,479-486,0,0,pubmed,False,True,theme_08,theme_08,0.19,C,
39533019,10.1038/s41435-024-00306-2,,Predictable regulation of gut microbiome in immunotherapeutic efficacy of gastric cancer.,Gao,Lin,Genes and immunity,Genes Immun,2025,2,26,1,1-8,0,0,pubmed,False,True,theme_09,theme_09,0.19,C,
38133212,10.1002/tox.24048,,Single-cell transcriptome analysis reveals intratumoral heterogeneity in lung adenocarcinoma.,Xu,Liu,Environmental toxicology,Environ Toxicol,2024,3,39,3,1847-1857,0,0,pubmed,False,True,theme_12,theme_12,0.19,C,
32064170,,PMC7017745,Aberrant miR-1246 expression promotes radioresistance in non-small cell lung cancer: a potential prognostic biomarker and radiotherapy sensitization target.,Fan,Li,American journal of cancer research,Am J Cancer Res,2020,0,10,1,314-335,0,0,pubmed,False,True,theme_01,theme_01,0.18,C,
32346296,10.2147/OTT.S229997,PMC7167283,Lamin B1 Overexpresses in Lung Adenocarcinoma and Promotes Proliferation in Lung Cancer Cells via AKT Pathway.,Li,Yang,OncoTargets and therapy,Onco Targets Ther,2020,0,13,,3129-3139,0,0,pubmed,False,True,theme_01,theme_01,0.18,C,
36148413,10.1155/2022/9683819,PMC9485712,Molecular Typing Based on Oxidative Stress Genes and Establishment of Prognostic Characteristics of 7 Genes in Lung Adenocarcinoma.,Tu,Huang,Oxidative medicine and cellular longevity,Oxid Med Cell Longev,2022,0,2022,,9683819,0,0,pubmed,False,True,theme_01,theme_01,0.18,C,
39263113,10.1016/j.heliyon.2024.e36743,PMC11387343,Emerging research trends in artificial intelligence for cancer diagnostic systems: A comprehensive review.,Abbas,Elmitwally,Heliyon,Heliyon,2024,9,10,17,e36743,0,0,pubmed,False,True,theme_02,theme_02,0.18,C,
40299923,10.1371/journal.pone.0319499,PMC12040121,RETRACTED: Optimizing chemotherapeutic targets in non-small cell lung cancer with transfer learning for precision medicine.,Malik,Kumari,PloS one,PLoS One,2025,0,20,4,e0319499,0,0,pubmed,False,True,theme_04,theme_04,0.18,C,
30720068,10.3892/ijo.2019.4707,PMC6411352,lncRNA PLAC2 activated by H3K27 acetylation promotes cell proliferation and invasion via the activation of Wnt/β‑catenin pathway in oral squamous cell carcinoma.,Chen,Wang,International journal of oncology,Int J Oncol,2019,4,54,4,1183-1194,0,0,pubmed,False,True,theme_08,theme_08,0.18,C,
35528245,10.1155/2022/2043880,PMC9076360,IL2RB Is a Prognostic Biomarker Associated with Immune Infiltrates in Pan-Cancer.,Li,Cheng,Journal of oncology,J Oncol,2022,0,2022,,2043880,0,0,pubmed,False,True,theme_09,theme_09,0.18,C,
30804389,10.1038/s41598-019-39228-9,PMC6389943,Computational Drug Repositioning for Gastric Cancer using Reversal Gene Expression Profiles.,Kim,Oh,Scientific reports,Sci Rep,2019,2,9,1,2660,0,0,pubmed,False,True,theme_11,theme_11,0.17,C,
38476113,10.1002/tox.24189,,"RETRACTED: Prediction of potential targets and toxicological insights of Astragalus in liver cancer based on network pharmacology: Integrating systems biology, drug interaction networks, and toxicological perspectives.",Zou,Cao,Environmental toxicology,Environ Toxicol,2025,7,40,7,E107-E123,0,0,pubmed,False,True,theme_11,theme_11,0.17,C,
24853685,10.1371/journal.pone.0097359,PMC4031068,Immunoglobulin G expression in lung cancer and its effects on metastasis.,Jiang,Gu,PloS one,PLoS One,2014,0,9,5,e97359,0,0,pubmed,False,True,theme_12,theme_12,0.17,C,
35836920,10.1155/2022/5110683,PMC9276499,Hub Gene Screening and Prognostic Modeling of Lung Cancer: An Integrated Bioinformatics Study.,Bai,Huang,Computational and mathematical methods in medicine,Comput Math Methods Med,2022,0,2022,,5110683,0,0,pubmed,False,True,theme_01,theme_01,0.16,C,
36158891,10.1155/2022/3268773,PMC9507705,Network Pharmacology-Integrated Molecular Docking Reveals the Expected Anticancer Mechanism of Picrorhizae Rhizoma Extract.,Hu,Yan,BioMed research international,Biomed Res Int,2022,0,2022,,3268773,0,0,pubmed,False,True,theme_01; theme_11,theme_01,0.16,C,
37587457,10.1186/s12885-023-11221-6,PMC10428593,Lactate dehydrogenase D serves as a novel biomarker for prognosis and immune infiltration in lung adenocarcinoma.,Zhang,Hou,BMC cancer,BMC Cancer,2023,8,23,1,759,0,0,pubmed,False,True,theme_01,theme_01,0.16,C,
34721825,10.1155/2021/6556266,PMC8550842,Deep Learning-Based Computed Tomography Imaging to Diagnose the Lung Nodule and Treatment Effect of Radiofrequency Ablation.,Guo,Wu,Journal of healthcare engineering,J Healthc Eng,2021,0,2021,,6556266,0,0,pubmed,False,True,theme_04,theme_04,0.16,C,
35028122,10.1155/2022/6107940,PMC8749371,Application of Deep Learning in Lung Cancer Imaging Diagnosis.,Jiang,Xu,Journal of healthcare engineering,J Healthc Eng,2022,0,2022,,6107940,0,0,pubmed,False,True,theme_04,theme_04,0.16,C,
36299828,10.1155/2022/6716324,PMC9576451,Bioinformatic Deconstruction of Differentially Expressed Sequence Tags in Hepatocellular Carcinoma Based on Artificial Neural Network.,Yi,Hu,Contrast media & molecular imaging,Contrast Media Mol Imaging,2022,0,2022,,6716324,0,0,pubmed,False,True,theme_04,theme_04,0.16,C,
35126639,10.1155/2022/8375349,PMC8816561,The Change of Soluble Programmed Death Ligand 1 (sPD-L1) in Plasma of Small Cell Lung Cancer and Its Clinical Significance.,Lu,Wang,Computational and mathematical methods in medicine,Comput Math Methods Med,2022,0,2022,,8375349,0,0,pubmed,False,True,theme_05,theme_05,0.16,C,
28501870,10.1159/000477121,,Long Non-Coding RNA XLOC_008466 Functions as an Oncogene in Human Non-Small Cell Lung Cancer by Targeting miR-874.,Yang,Zhao,"Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology",Cell Physiol Biochem,2017,0,42,1,126-136,0,0,pubmed,False,True,theme_08,theme_08,0.16,C,
30816464,10.3892/mmr.2019.9968,PMC6423585,PADI4‑mediated epithelial‑mesenchymal transition in lung cancer cells.,Liu,Cai,Molecular medicine reports,Mol Med Rep,2019,4,19,4,3087-3094,0,0,pubmed,False,True,theme_08,theme_08,0.16,C,
27223073,10.18632/oncotarget.9480,PMC5129990,MicroRNA-138 acts as a tumor suppressor in non small cell lung cancer via targeting YAP1.,Xiao,Liu,Oncotarget,Oncotarget,2016,6,7,26,40038-40046,0,0,pubmed,False,True,theme_01; theme_11,theme_01,0.14,C,
27829229,10.18632/oncotarget.13131,PMC5348410,"Knockdown of TRIM65 inhibits lung cancer cell proliferation, migration and invasion: A therapeutic target in human lung cancer.",Wang,Shu,Oncotarget,Oncotarget,2016,12,7,49,81527-81540,0,0,pubmed,False,True,theme_01,theme_01,0.14,C,
34586488,10.1007/s00335-021-09919-8,,MiR-519d-3p enhances the sensitivity of non-small-cell lung cancer to tyrosine kinase inhibitors.,Zhen,Liu,Mammalian genome : official journal of the International Mammalian Genome Society,Mamm Genome,2021,12,32,6,508-516,0,0,pubmed,False,True,theme_01; theme_08,theme_01,0.14,C,
34841435,10.3892/mmr.2021.12546,PMC8669681,"MicroRNA‑671‑5p inhibits cell proliferation, migration and invasion in non‑small cell lung cancer by targeting MFAP3L.",Ye,Huang,Molecular medicine reports,Mol Med Rep,2022,1,25,1,,0,0,pubmed,False,True,theme_01,theme_01,0.14,C,
36248419,10.1155/2022/3444740,PMC9568294,Prognostic Significance of ANGPTL4 in Lung Adenocarcinoma: A Meta-Analysis Based on Integrated TCGA and GEO Databases.,Yang,Zhang,Evidence-based complementary and alternative medicine : eCAM,Evid Based Complement Alternat Med,2022,0,2022,,3444740,0,0,pubmed,False,True,theme_01,theme_01,0.14,C,
36600965,10.1155/2022/4435092,PMC9807302,Screening of Key Prognosis Genes of Lung Adenocarcinoma Based on Expression Analysis on TCGA Database.,Shen,Tian,Journal of oncology,J Oncol,2022,0,2022,,4435092,0,0,pubmed,False,True,theme_01,theme_01,0.14,C,
37731502,10.3389/fimmu.2023.1260584,PMC10507695,Macrophages depletion alleviates lung injury by modulating AKT3/GXP4 following ventilator associated pneumonia.,Zhu,Ning,Frontiers in immunology,Front Immunol,2023,0,14,,1260584,0,0,pubmed,False,True,theme_01,theme_01,0.14,C,
29362431,10.1038/s41419-017-0103-7,PMC5833350,Dual roles of miR-374a by modulated c-Jun respectively targets CCND1-inducing PI3K/AKT signal and PTEN-suppressing Wnt/β-catenin signaling in non-small-cell lung cancer.,Zhao,Fang,Cell death & disease,Cell Death Dis,2018,1,9,2,78,0,0,pubmed,False,True,theme_03,theme_03,0.14,C,
32926507,10.1111/cas.14647,PMC7734005,First-line pembrolizumab vs chemotherapy in metastatic non-small-cell lung cancer: KEYNOTE-024 Japan subset.,Satouchi,Hotta,Cancer science,Cancer Sci,2020,12,111,12,4480-4489,0,0,pubmed,False,True,theme_03,theme_03,0.14,C,
35461327,10.1038/s41388-022-02322-w,PMC9135627,Exosomal miR-4466 from nicotine-activated neutrophils promotes tumor cell stemness and metabolism in lung cancer metastasis.,Tyagi,Watabe,Oncogene,Oncogene,2022,5,41,22,3079-3092,0,0,pubmed,False,True,theme_06,theme_06,0.14,C,
