pmid,doi,pmcid,title,authors_first,authors_last,journal,journal_iso,year,month,volume,issue,pages,citation_count,influential_citations,source_api,is_preprint,is_retracted,themes,theme_primary,relevance_score,priority_tier,notes
40921804,10.1038/s41591-025-03958-3,PMC12705443,Perioperative nivolumab or nivolumab plus ipilimumab in resectable diffuse pleural mesothelioma: a phase 2 trial and ctDNA analyses.,Reuss,Forde,Nature medicine,Nat Med,2025,12,31,12,4097-4108,0,0,pubmed,False,False,theme_12,theme_12,0.44,B,
41386218,10.1016/j.cell.2025.11.021,,Are ultrasensitive ctDNA assays ready for clinical use in early-stage NSCLC?,Khan,Leighl,Cell,Cell,2025,12,188,25,7017-7018,0,0,pubmed,False,False,theme_12,theme_12,0.44,B,
41606121,10.1038/s41591-025-04186-5,,Fecal microbiota transplantation plus immunotherapy in non-small cell lung cancer and melanoma: the phase 2 FMT-LUMINate trial.,Duttagupta,Elkrief,Nature medicine,Nat Med,2026,1,,,,0,0,pubmed,False,False,theme_12,theme_12,0.44,B,
41680132,10.1038/s41467-026-69069-w,PMC12901160,Colonic spatial single-cell proteomics and murine models link mitochondrial dysfunction to dimeric IgA-secreting plasma cell deficiency in Crohn's disease.,Raschdorf,Derer,Nature communications,Nat Commun,2026,2,17,1,1590,0,0,pubmed,False,False,theme_12,theme_12,0.44,B,
41701097,10.1093/bib/bbag037,PMC12910627,SHEST: single-cell-level artificial intelligence from haematoxylin and eosin morphology for cell-type prediction and spatial transcriptomics reconstruction.,Jeong,Choi,Briefings in bioinformatics,Brief Bioinform,2026,1,27,1,,0,0,pubmed,False,False,theme_12,theme_12,0.44,B,
41807427,10.1038/s41467-026-70715-6,PMC12979737,Identification of altered immune landscape at single-cell resolution in NSCLC brain metastasis and its association with poor immune checkpoint inhibitor responses.,Bai,Teng,Nature communications,Nat Commun,2026,3,17,1,,0,0,pubmed,False,False,theme_12,theme_12,0.44,B,
32269342,10.1038/s41586-020-2140-0,PMC8230734,Integrating genomic features for non-invasive early lung cancer detection.,Chabon,Diehn,Nature,Nature,2020,4,580,7802,245-251,0,0,pubmed,False,False,theme_12,theme_12,0.43,B,
36768828,10.3390/ijms24032505,PMC9917347,Liquid Biopsy for Lung Cancer: Up-to-Date and Perspectives for Screening Programs.,Casagrande,Leal,International journal of molecular sciences,Int J Mol Sci,2023,1,24,3,,0,0,pubmed,False,False,theme_12,theme_12,0.43,B,
37345038,10.3390/cancers15102702,PMC10216452,Liquid Biopsy in Early-Stage Lung Cancer: Current and Future Clinical Applications.,Vandekerckhove,Maes,Cancers,Cancers (Basel),2023,5,15,10,,0,0,pubmed,False,False,theme_12,theme_12,0.43,B,
38428066,10.1016/j.ctarc.2024.100802,,ctDNA-based minimal residual disease detection in lung cancer patients treated with curative intended chemoradiotherapy using a clinically transferable approach.,Nielsen,Sorensen,Cancer treatment and research communications,Cancer Treat Res Commun,2024,0,39,,100802,0,0,pubmed,False,False,theme_12,theme_12,0.43,B,
39122703,10.1038/s41419-024-06940-y,PMC11316060,Integrative single-cell RNA-seq and spatial transcriptomics analyses reveal diverse apoptosis-related gene expression profiles in EGFR-mutated lung cancer.,Izumi,Kobayashi,Cell death & disease,Cell Death Dis,2024,8,15,8,580,0,0,pubmed,False,False,theme_12,theme_12,0.43,B,
40220718,10.1016/j.lungcan.2025.108528,,ctDNA can detect minimal residual disease in curative treated non-small cell lung cancer patients using a tumor agnostic approach.,Rosenlund,Sorensen,"Lung cancer (Amsterdam, Netherlands)",Lung Cancer,2025,5,203,,108528,0,0,pubmed,False,False,theme_12,theme_12,0.43,B,
41008870,10.3390/cancers17183021,PMC12468824,Methylation Analyses in Liquid Biopsy of Lung Cancer Patients: A Novel and Intriguing Approach Against Resistance to Target Therapies and Immunotherapies.,Trombetta,Muscarella,Cancers,Cancers (Basel),2025,9,17,18,,0,0,pubmed,False,False,theme_12,theme_12,0.43,B,
30191851,10.1016/S1470-2045(18)30455-8,,Will liquid biopsies improve outcomes for patients with small-cell lung cancer?,Blackhall,Dive,The Lancet. Oncology,Lancet Oncol,2018,9,19,9,e470-e481,0,0,pubmed,False,False,theme_12,theme_12,0.42,B,
36270277,10.1016/j.ccell.2022.09.018,,Squamous cell lung cancer: Current landscape and future therapeutic options.,Lau,Wong,Cancer cell,Cancer Cell,2022,11,40,11,1279-1293,0,0,pubmed,False,False,theme_12,theme_12,0.42,B,
36596401,10.1016/j.critrevonc.2022.103899,,Navigating the liquid biopsy Minimal Residual Disease (MRD) in non-small cell lung cancer: Making the invisible visible.,Gristina,Bazan,Critical reviews in oncology/hematology,Crit Rev Oncol Hematol,2023,2,182,,103899,0,0,pubmed,False,False,theme_12,theme_12,0.42,B,
36624212,10.1038/s41592-022-01709-7,PMC9911356,Robust single-cell matching and multimodal analysis using shared and distinct features.,Zhu,Jiang,Nature methods,Nat Methods,2023,2,20,2,304-315,0,0,pubmed,False,False,theme_12,theme_12,0.42,B,
36869384,10.1186/s13073-023-01164-9,PMC9985263,Tumor microenvironment remodeling after neoadjuvant immunotherapy in non-small cell lung cancer revealed by single-cell RNA sequencing.,Hu,Zhang,Genome medicine,Genome Med,2023,3,15,1,14,0,0,pubmed,False,False,theme_12,theme_12,0.42,B,
37267953,10.1016/j.ccell.2023.05.004,,Clearance of senescent macrophages ameliorates tumorigenesis in KRAS-driven lung cancer.,Haston,Martinez-Barbera,Cancer cell,Cancer Cell,2023,7,41,7,1242-1260.e6,0,0,pubmed,False,False,theme_12,theme_12,0.42,B,
38325713,10.1016/j.cca.2024.117823,,Metabolomics and lipidomics in non-small cell lung cancer.,Shi,Zhao,Clinica chimica acta; international journal of clinical chemistry,Clin Chim Acta,2024,3,555,,117823,0,0,pubmed,False,False,theme_12,theme_12,0.42,B,
38702301,10.1038/s41467-024-47423-0,PMC11068778,Focal adhesion kinase-YAP signaling axis drives drug-tolerant persister cells and residual disease in lung cancer.,Haderk,Bivona,Nature communications,Nat Commun,2024,5,15,1,3741,0,0,pubmed,False,False,theme_12,theme_12,0.42,B,
39325441,10.1001/jamaoncol.2024.4006,PMC11428028,Oral Microbiome and Subsequent Risk of Head and Neck Squamous Cell Cancer.,Kwak,Hayes,JAMA oncology,JAMA Oncol,2024,11,10,11,1537-1547,0,0,pubmed,False,False,theme_12,theme_12,0.42,B,
39905080,10.1038/s41467-025-56546-x,PMC11794701,Spatially mapping the tumour immune microenvironments of non-small cell lung cancer.,Desharnais,Walsh,Nature communications,Nat Commun,2025,2,16,1,1345,0,0,pubmed,False,False,theme_12,theme_12,0.42,B,
40089475,10.1038/s41467-025-57590-3,PMC11910648,Single-cell and chromatin accessibility profiling reveals regulatory programs of pathogenic Th2 cells in allergic asthma.,Khan,Boucheron,Nature communications,Nat Commun,2025,3,16,1,2565,0,0,pubmed,False,False,theme_12,theme_12,0.42,B,
40097663,10.1038/s41591-025-03577-y,PMC12176615,Molecular residual disease analysis of adjuvant osimertinib in resected EGFR-mutated stage IB-IIIA non-small-cell lung cancer.,Herbst,Wu,Nature medicine,Nat Med,2025,6,31,6,1958-1968,0,0,pubmed,False,False,theme_12,theme_12,0.42,B,
40221398,10.1038/s41467-025-58553-4,PMC11993705,Gut commensal Bifidobacterium-derived extracellular vesicles modulate the therapeutic effects of anti-PD-1 in lung cancer.,Preet,Zhang,Nature communications,Nat Commun,2025,4,16,1,3500,0,0,pubmed,False,False,theme_12,theme_12,0.42,B,
40355415,10.1038/s41467-025-59005-9,PMC12069714,"Transcriptome analysis of archived tumors by Visium, GeoMx DSP, and Chromium reveals patient heterogeneity.",Dong,Madissoon,Nature communications,Nat Commun,2025,5,16,1,4400,0,0,pubmed,False,False,theme_12,theme_12,0.42,B,
40804524,10.1038/s41586-025-09398-w,PMC12488491,Clone copy number diversity is linked to survival in lung cancer.,Pawlik,McGranahan,Nature,Nature,2025,10,646,8083,190-197,0,0,pubmed,False,False,theme_12,theme_12,0.42,B,
40825871,10.1038/s41588-025-02297-w,PMC12695640,Tracing the evolution of single-cell 3D genomes in Kras-driven cancers.,Liu,Wang,Nature genetics,Nat Genet,2025,12,57,12,3075-3087,0,0,pubmed,False,False,theme_12,theme_12,0.42,B,
40965868,10.1001/jamaoncol.2025.3377,PMC12447289,Oral Bacterial and Fungal Microbiome and Subsequent Risk for Pancreatic Cancer.,Meng,Ahn,JAMA oncology,JAMA Oncol,2025,11,11,11,1331-1340,0,0,pubmed,False,False,theme_12,theme_12,0.42,B,
40998804,10.1038/s41467-025-63465-4,PMC12462439,Oncogenic driver mutations underlie the spatial tumour immune landscape of non-small cell lung cancer.,Hartner,Walsh,Nature communications,Nat Commun,2025,9,16,1,8402,0,0,pubmed,False,False,theme_12,theme_12,0.42,B,
41184299,10.1038/s41467-025-65783-z,PMC12583542,AI-powered spatial cell phenomics enhances risk stratification in non-small cell lung cancer.,Schallenberg,Klauschen,Nature communications,Nat Commun,2025,11,16,1,9701,0,0,pubmed,False,False,theme_12,theme_12,0.42,B,
10192388,10.1038/7716,,Comparative genomes of Chlamydia pneumoniae and C. trachomatis.,Kalman,Stephens,Nature genetics,Nat Genet,1999,4,21,4,385-9,715,41,pubmed,False,False,theme_12,theme_12,0.4127456511153928,B,
27283993,10.1038/ncomms11815,PMC4906406,Circulating tumour DNA profiling reveals heterogeneity of EGFR inhibitor resistance mechanisms in lung cancer patients.,Chabon,Diehn,Nature communications,Nat Commun,2016,6,7,,11815,0,0,pubmed,False,False,theme_12,theme_12,0.41000000000000003,B,
34799585,10.1038/s41467-021-27022-z,PMC8605017,Dynamic recurrence risk and adjuvant chemotherapy benefit prediction by ctDNA in resected NSCLC.,Qiu,He,Nature communications,Nat Commun,2021,11,12,1,6770,0,0,pubmed,False,False,theme_12,theme_12,0.41000000000000003,B,
35962452,10.1186/s13073-022-01089-9,PMC9375433,Molecular profiling of human non-small cell lung cancer by single-cell RNA-seq.,Li,Wang,Genome medicine,Genome Med,2022,8,14,1,87,0,0,pubmed,False,False,theme_12,theme_12,0.41000000000000003,B,
30296486,10.1016/j.jtho.2018.09.022,,Detection of Minimal Residual Disease Using ctDNA in Lung Cancer: Current Evidence and Future Directions.,Chae,Oh,Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer,J Thorac Oncol,2019,1,14,1,16-24,0,0,pubmed,False,False,theme_12,theme_12,0.41,B,
30424034,10.3390/mi9030100,PMC6187707,Liquid Biopsy in Lung Cancer: Clinical Applications of Circulating Biomarkers (CTCs and ctDNA).,Lim,Cho,Micromachines,Micromachines (Basel),2018,2,9,3,,0,0,pubmed,False,False,theme_12,theme_12,0.41,B,
35326725,10.3390/cancers14061574,PMC8946716,Effect of Osimertinib on CTCs and ctDNA in EGFR Mutant Non-Small Cell Lung Cancer Patients: The Prognostic Relevance of Liquid Biopsy.,Kallergi,Kotsakis,Cancers,Cancers (Basel),2022,3,14,6,,0,0,pubmed,False,False,theme_12,theme_12,0.41,B,
36993328,10.21203/rs.3.rs-2688927/v1,PMC10055612,Pre-radiotherapy ctDNA liquid biopsy for risk stratification of oligometastatic non-small cell lung cancer.,Semenkovich,Chaudhuri,Research square,Res Sq,2023,3,,,,0,0,pubmed,False,False,theme_12,theme_12,0.41,B,
37173891,10.3390/cancers15092425,PMC10177293,Circulating Tumour DNA (ctDNA) as a Predictor of Clinical Outcome in Non-Small Cell Lung Cancer Undergoing Targeted Therapies: A Systematic Review and Meta-Analysis.,Zaman,Alamgeer,Cancers,Cancers (Basel),2023,4,15,9,,0,0,pubmed,False,False,theme_12,theme_12,0.41,B,
37190212,10.3390/cancers15082275,PMC10136462,Sequence-Based Platforms for Discovering Biomarkers in Liquid Biopsy of Non-Small-Cell Lung Cancer.,Brockley,Martinez,Cancers,Cancers (Basel),2023,4,15,8,,0,0,pubmed,False,False,theme_12,theme_12,0.41,B,
